Name,Role,Specific Challenges,Goals for the Coaching Session,Internal State,Names of Key People
Fatima Al-Jamil,Head of Ops (Post-Merger),"""I'm a visionary leader who struggles with the day-to-day operations; I delegate poorly and micromanage when stressed.""",Find a way to successfully merge the two company cultures.,"Stressed, diplomatic, overwhelmed.",Two vocal managers from each side: Steve (old guard) and Nora (new way).
Ben Carter,First-time Entrepreneur,"""I'm a technical expert who struggles with communicating complex ideas to non-technical stakeholders; I get frustrated when others don't understand.""",Get help with being less overwhelmed and learning to prioritize.,"Passionate, exhausted, scattered.","His co-founder, Sam, who is worried about his burnout."
Olivia Martinez,General Manager,"""I'm a passionate advocate who struggles with diplomacy; I can be perceived as aggressive and confrontational.""",Figure out how to manage former peers who don't respect her new authority.,"Empathetic, conflicted, harmonious.","Her former peer and now direct report, Chris."
Samuel Jones,"Senior Partner, Law Firm","""I'm a natural networker who struggles with deep, meaningful connections; I have many acquaintances but few close confidantes.""",Find motivation for his last two years and explore what's next.,"Esteemed, reflective, but also dismissive.","A junior partner he is supposed to mentor, Alicia."
Dr. Aisha Adebayo,Head of Medical Research,"""I'm a data-driven decision-maker who struggles with intuition and emotional intelligence; I over-rely on logic and dismiss feelings.""",Learn how to get her strategic input taken seriously by the board and donors.,"Brilliant, humble, frustrated.","The foundation's main donor, Mrs. Gable."
Daniel Miller,Plant Manager,"""I'm a mentor who struggles with letting go and allowing others to make their own mistakes; I tend to rescue rather than empower.""",Figure out why his team never brings him problems until they are crises.,"Results-oriented, impatient, intimidating.","His shift supervisor, Rick, who stopped reporting small issues."
Isabella Rossi,"Founder, Fashion Brand","""I'm a strategic thinker who struggles with execution; I have great ideas but lack the follow-through to implement them.""",Find a better work-life balance without feeling like the business will fail.,"Creative, driven, anxious, guilt-ridden.","Her sister, Maria, who is concerned about her health."
Marcus Thorne,Chief Information Officer,"""I'm a resilient individual who struggles with asking for help; I believe I must handle everything myself.""",Get business units to adopt the new IT systems from his failing transformation project.,"Logical, systematic, frustrated.","The head of Marketing, Brenda, who is his biggest critic."
Jessica Lee,Marketing Director,"""I'm a charismatic leader who struggles with vulnerability; I maintain a strong facade and rarely show my true feelings.""","Learn how to be a better mentor to develop her team, as per her boss's feedback.","Direct, action-oriented, generous with advice.","Her boss, Greg, and a direct report, Tom, who needs development."
Carlos Garcia,City Planning Director,"""I'm a meticulous planner who struggles with spontaneity and adaptability; I get flustered when things don't go according to plan.""",Find a way to influence stakeholders to get a controversial public project approved.,"Methodical, patient, struggles to persuade.","A vocal city council member opposing the project, Eleanor Vance."
Liam O'Connell,Veteran (Career Transition),"""I'm a natural problem-solver who struggles with celebrating successes; I immediately move on to the next challenge.""",Learn how to translate his military skills for the corporate world and get a job.,"Frustrated, mission-focused, feels like an outsider.","His wife, Sarah, who is his main support."
Rachel Goldstein,Lawyer (Career Transition),"""I'm an empathetic listener who struggles with setting boundaries; I take on too much of others' emotional burdens.""","Explore creative career options and overcome the fear of leaving a ""safe"" profession.","Pessimistic, analytical, trapped, risk-averse.","Her father, Jacob, who is also a lawyer."
Maya Singh,Stay-at-Home Parent (Career Transition),"""I'm a confident presenter who struggles with receiving constructive criticism; I become defensive and shut down.""",Regain her confidence and create a plan to re-enter the marketing field.,"Anxious, self-deprecating, apologetic.","Her supportive husband, Ravi."
Tom Henderson,Mid-level Manager (Laid Off),"""I'm a creative innovator who struggles with the practicalities of commercialization; I have brilliant ideas but can't bring them to market.""",Figure out where to begin his job search after being laid off.,"Overwhelmed, sad, loyal, resistant.","His former long-time manager, Paul."
Dr. Evelyn Reed,Tenured Professor (Career Transition),"""I'm a decisive leader who struggles with patience; I expect immediate results and get frustrated by delays.""",Explore a potential move into corporate consulting and resolve her internal conflict.,"Intellectual, conflicted, cynical, curious.","A former student, Brian, who is successful in consulting."
Kevin Wu,Software Engineer (Career Coaching),"""I'm a supportive colleague who struggles with self-care; I put others' needs before my own and neglect my well-being.""",Understand why he's not getting promoted and what he needs to do differently.,"Introverted, logical, frustrated.","His manager, Phil, and a recently promoted peer, Anna."
Sofia Petrova,Junior Consultant (Career Coaching),"""I'm a detail-oriented professional who struggles with the big picture; I get lost in the weeds and miss strategic opportunities.""",Understand and act on the feedback she's receiving to improve her performance.,"Eager to please, sensitive, detail-oriented.","Her project manager, Diane."
Jordan Lee,Freelance Designer (Career Coaching),"""I'm a persuasive communicator who struggles with active listening; I'm more focused on getting my point across than understanding others.""",Gain confidence to negotiate higher rates and land bigger clients.,"Creative, passionate, insecure.","A potential large client, Frank from Acme Corp."
Brenda Johnson,Nurse Manager (Career Coaching),"""I'm a collaborative team member who struggles with independent decision-making; I always seek consensus and avoid taking sole responsibility.""",Decide whether to go back to school or apply for the Director role now.,"Practical, caring, indecisive.","The current Director of Nursing who is retiring, Mary-Anne."
Amir Khan,Data Scientist (Career Coaching),"""I'm an ambitious individual who struggles with work-life balance; I'm constantly striving for more and neglect my personal life.""",Figure out how to proactively ask his manager for more challenging projects.,"Thoughtful, quiet, passive, non-confrontational.","His manager, Chen."
